"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 25 11:19:24 UTC 2023","Mon Dec 25 11:19:24 UTC 2023","162","","Swipe Page testing,","","","","""after each"" hook for Swipe Page testing,",""
"passed","Mon Dec 25 11:18:58 UTC 2023","Mon Dec 25 11:19:02 UTC 2023","3071","","Home Page testing,","","","","Displaying the Main Page",""
"passed","Mon Dec 25 11:19:02 UTC 2023","Mon Dec 25 11:19:08 UTC 2023","6128","","Login Page testing,","","","","Login with empty fields",""
"passed","Mon Dec 25 11:18:58 UTC 2023","Mon Dec 25 11:19:01 UTC 2023","2212","","Home Page testing,","","","","""before each"" hook for Home Page testing,",""
"passed","Mon Dec 25 11:19:02 UTC 2023","Mon Dec 25 11:19:02 UTC 2023","168","","Home Page testing,","","","","""after each"" hook for Home Page testing,",""
"passed","Mon Dec 25 11:19:08 UTC 2023","Mon Dec 25 11:19:11 UTC 2023","2692","","Login Page testing,","","","","""before each"" hook for Login Page testing,",""
"passed","Mon Dec 25 11:19:18 UTC 2023","Mon Dec 25 11:19:24 UTC 2023","5658","","Swipe Page testing,","","","","Vertical swipe to bottom text",""
"passed","Mon Dec 25 11:19:18 UTC 2023","Mon Dec 25 11:19:20 UTC 2023","2145","","Swipe Page testing,","","","","""before each"" hook for Swipe Page testing,",""
"passed","Mon Dec 25 11:18:57 UTC 2023","Mon Dec 25 11:19:18 UTC 2023","21147","","Swipe Page testing,","","","","Swiping the carousel from left to right",""
"passed","Mon Dec 25 11:19:15 UTC 2023","Mon Dec 25 11:19:15 UTC 2023","245","","Login Page testing,","","","","""after each"" hook for Login Page testing,",""
"passed","Mon Dec 25 11:19:08 UTC 2023","Mon Dec 25 11:19:15 UTC 2023","7260","","Login Page testing,","","","","Registration with empty fields",""
